grain,size
51400,80
51401,1599
51404,6
51409,12
51419,3
51420,1306
51421,101
51423,891
51424,1
51426,50
51427,2366
51428,17
51430,274
51431,4
51432,8
51433,20
51436,40
51438,2
51441,79
51442,104
51443,3
51444,17
51445,2
51446,2732
51451,81
51452,33
51453,265
51455,2
51456,200
51457,1
51459,194
51460,5
51461,2410
51464,1
51466,1
51467,13
51471,3
51475,14
51477,19
51479,207
51481,3
51482,30
51486,12
51487,201
51490,29
51492,218
51493,2
51494,232
51497,1
51499,559
51500,1473
51504,2
51508,8
51509,200
51512,2
51514,2
51516,3
51517,95
51520,2
51521,5
51524,5
51529,1
51530,331
51531,9
51533,12
51534,1
51538,6
51542,1
51543,314
51545,498
51548,45
51551,58
51552,1
51554,323
51555,1369
51560,4
51562,27
51564,1
51566,117
51569,4521
51570,2
51571,4
51572,30
51574,1
51581,2
51583,243
51584,2
51590,246
51591,1
51594,1
51595,41
51600,30
51601,1837
51603,1
51611,23
51613,3719
51614,19
51615,177
51618,414
51620,2
51622,384
51623,80
51624,3
51626,3
51630,967
51631,23
51633,1
51638,1282
51644,10
51650,111
51653,8
51657,136
51658,3
51659,128
51661,412
51662,7
51663,148
51664,178
51665,486
51667,1309
51668,1173
51672,4
51673,2
51676,97
51678,23
51680,56
51682,2
51683,1
51684,3
51685,12
51686,33
51687,23
51691,33
51694,245
51695,6
51700,31
51702,5
51704,9
51709,908
51710,2
51711,607
51712,2
51713,12
51714,3
51716,73
51718,653
51721,335
51722,5
51723,5
51724,12
51726,1
51728,1
51729,379
51732,100
51739,656
51743,2555
51746,79
51748,36
51753,5073
51754,2
51757,3018
51761,2520
51763,947
51764,9
51765,646
51767,73
51769,6
51771,1
51772,11
51773,4
51775,158
51778,31
51782,7
51783,164
51785,2316
51786,400
51787,158
51789,2
51793,7
51796,703
51798,59
51800,109
51801,73
51803,1
51805,702
51807,49
51809,180
51810,1
51811,4
51812,1
51818,170
51819,17
51821,14
51823,10
51824,2
51827,1
51828,1
51832,3
51833,2
51834,13
51835,31
51836,11
51837,167
51839,449
51840,120
51842,1
51846,15
51851,139
51853,757
51855,13
51858,1
51862,1096
51866,872
51869,202
51874,431
51876,3262
51877,1
51878,581
51879,9
51880,6
51881,154
51884,386
51890,50
51891,163
51893,49
51895,1
51898,75
51900,459
51902,544
51907,3
51908,51
51910,1
51913,30
51915,59
51916,20
51917,696
51919,64
51921,14
51923,43
51925,118
51928,142
51933,2469
51935,3
51938,3
51939,1
51943,56
51944,844
51945,550
51947,74
51949,2
51952,11
51954,1
51956,228
51957,3
51960,1
51961,5
51965,6
51966,297
51969,2
51971,1030
51972,542
51975,45
51977,108
51979,44
51981,49
51982,60
51983,345
51987,1278
51988,76
51990,57
51992,1348
51997,415
51999,151
52001,32
52002,23
52003,117
52004,144
52020,164
52021,2089
52022,213
52024,164
52025,253
52026,37
52028,6
52029,2
52034,3
52036,40
52039,6
52040,64
52041,1229
52044,1
52045,1212
52046,3165
52048,7
52051,3
52052,276
52053,34
52054,525
52056,1286
