grain,size,duration,unique_sites,max_radius
50590,1949,194,1116,68
50594,19,11,19,9
50598,3,2,3,1
50599,17,11,17,5
50600,91,26,79,12
50603,24,11,24,9
50604,7,6,7,3
50606,21,10,19,7
50607,1,1,1,0
50610,6,3,6,2
50611,1,1,1,0
50618,1,1,1,0
50624,10,5,10,4
50626,86,27,86,14
50627,899,102,899,58
50629,1132,159,1124,66
50631,90,30,82,14
50633,1,1,1,0
50635,7,3,7,2
50639,1,1,1,0
50640,3,2,3,1
50645,3,2,3,1
50647,312,56,225,26
50648,1143,127,1008,51
50651,1,1,1,0
50656,85,26,78,15
50657,117,31,117,14
50663,1,1,1,0
50665,7,5,7,4
50666,282,92,282,31
50667,52,20,50,10
50669,19,9,19,5
50670,584,84,398,29
50673,1645,130,1056,50
50674,888,141,709,40
50676,9,8,9,3
50678,1,1,1,0
50679,1,1,1,0
50680,53,12,44,10
50681,19,9,19,7
50682,22,13,22,7
50683,71,18,71,12
50684,2,2,2,1
50689,236,43,236,24
50691,4540,165,2254,65
50695,1,1,1,0
50696,4,4,4,3
50698,522,78,345,27
50705,5,4,5,2
50706,1851,151,1452,56
50708,486,74,415,25
50709,450,54,221,13
50712,10,8,10,4
50713,11,6,11,4
50716,23,13,23,11
50717,1,1,1,0
50718,21,11,21,8
50721,1540,170,929,38
50727,43,21,43,10
50729,30,12,29,8
50736,218,41,218,21
50743,127,33,127,25
50744,2,2,2,1
50745,21,11,21,9
50751,1,1,1,0
50752,2,2,2,1
50753,3,3,3,2
50757,106,35,93,18
50763,1,1,1,0
50768,17,7,17,4
50773,1,1,1,0
50779,45,25,45,14
50780,2183,217,2181,101
50784,1,1,1,0
50788,1,1,1,0
50789,7,5,7,4
50791,293,46,194,18
50794,2132,188,2132,89
50795,3,3,3,2
50797,1842,215,1577,60
50798,34,21,34,12
50802,275,43,226,20
50803,149,44,149,20
50811,85,22,74,9
50812,1,1,1,0
50816,264,43,264,22
50817,42,13,42,12
50818,173,39,173,28
50819,381,60,353,28
50820,2,2,2,1
50823,1456,132,689,33
50827,13,9,13,5
50828,1,1,1,0
50831,1822,170,1331,42
50832,1,1,1,0
50833,602,86,602,35
50834,2204,203,1284,45
50836,517,80,511,42
50837,28,11,28,7
50838,1,1,1,0
50839,396,65,396,38
50841,1003,120,659,35
50842,1,1,1,0
50844,563,68,345,24
50847,44,13,38,10
50848,8,6,8,4
50849,211,39,142,18
50850,56,21,56,14
50854,63,14,62,11
50856,62,24,62,17
50857,3769,207,1602,55
50858,3,3,3,2
50862,4,4,4,3
50863,4759,206,2100,56
50867,4,4,4,3
50873,3,2,3,1
50874,634,93,633,56
50875,3,3,3,2
50877,58,13,58,9
50879,127,34,127,22
50882,5,3,5,2
50885,2262,176,936,39
50886,25,14,25,8
50887,95,31,68,14
