grain,size,duration,unique_sites,max_radius
62085,1,1,1,0
62087,578,95,569,49
62091,68,26,68,12
62092,457,54,344,41
62093,10,6,10,3
62094,89,20,89,12
62096,7,4,7,2
62098,1,1,1,0
62101,1,1,1,0
62102,186,37,186,28
62104,2014,191,1365,65
62105,50,13,50,9
62108,68,29,54,7
62109,336,66,336,47
62110,1,1,1,0
62114,8,5,8,4
62118,12,7,12,6
62119,2,2,2,1
62120,33,15,33,7
62122,250,61,236,25
62123,29,9,29,7
62125,2406,128,1091,47
62130,803,125,741,52
62131,70,14,64,11
62136,53,17,53,11
62138,834,139,834,65
62139,3,3,3,2
62141,83,27,83,14
62149,1,1,1,0
62151,14,8,14,5
62153,58,20,52,9
62154,81,31,69,8
62157,1,1,1,0
62158,136,37,135,15
62159,2,2,2,1
62161,4827,249,2269,78
62162,6,5,6,4
62165,12,7,12,4
62170,6,4,6,2
62171,15,8,15,6
62173,171,33,145,15
62177,4,4,4,3
62178,7,4,7,3
62181,234,53,234,30
62183,1,1,1,0
62184,1,1,1,0
62187,2962,202,1797,59
62188,2946,171,1924,56
62191,3,3,3,2
62194,1,1,1,0
62197,12,9,12,6
62201,1,1,1,0
62202,24,9,24,7
62203,1,1,1,0
62206,1,1,1,0
62211,137,33,137,24
62213,68,18,68,13
62214,18,10,18,7
62215,4,3,4,2
62216,8,5,8,3
62217,19,10,19,9
62226,24,12,22,6
62228,3,3,3,2
62230,276,44,276,27
62232,57,17,57,12
62233,22,11,18,4
62234,283,50,236,23
62235,357,50,259,19
62237,2,2,2,1
62241,49,15,49,10
62242,2,2,2,1
62243,2,2,2,1
62245,352,40,246,25
62249,1,1,1,0
62250,44,19,44,13
62253,184,36,159,22
62258,5789,263,2496,57
62259,18,8,17,5
62264,54,16,54,11
62265,76,21,76,16
62267,1,1,1,0
62269,40,23,40,11
62271,5,4,5,3
62273,60,14,55,11
62274,795,72,481,23
62275,32,14,32,8
62276,6365,292,2737,56
62278,2,2,2,1
62282,5406,382,2505,64
62283,5,4,5,3
62284,150,52,150,20
62285,7,4,7,3
62287,1228,169,1108,63
62291,6,4,6,2
62293,28,10,28,7
62294,35,13,32,8
62297,1113,178,1004,56
62298,5,5,5,3
62301,181,45,180,25
62302,359,62,264,22
62304,1,1,1,0
62307,1,1,1,0
62309,6,3,6,2
62311,2,2,2,1
62318,924,95,920,46
62319,454,113,454,43
62321,30,12,30,9
62326,105,37,105,19
62328,545,85,543,34
62329,2,2,2,1
62330,286,47,286,27
62337,1,1,1,0
62339,399,67,399,38
62340,2,2,2,1
62345,5,3,5,2
62346,1903,156,1306,65
62352,90,22,90,13
62353,18,8,18,7
62355,555,57,384,30
62357,236,49,207,23
62360,57,22,57,14
62363,18,10,18,6
62376,45,14,35,6
62379,13,9,13,5
62380,432,50,289,28
62382,101,26,101,16
62388,266,53,266,35
62391,1199,121,1162,47
62393,136,40,129,15
62397,995,118,994,57
62400,24,10,24,9
62404,67,27,67,16
62406,3,3,3,2
62407,187,44,180,24
62408,168,38,168,20
62409,1987,124,963,48
62414,6,4,6,3
62415,356,58,356,38
62417,11,9,10,2
62421,1,1,1,0
62422,3,3,3,2
62426,7,4,7,3
62427,4,4,4,2
62428,7,5,7,3
62430,1,1,1,0
62434,9,8,9,4
62439,1,1,1,0
62440,9,5,9,4
62443,71,15,59,9
62445,72,27,68,13
62447,1,1,1,0
62451,8,4,8,3
62454,790,142,349,26
62456,2,2,2,1
62458,9,5,9,4
62461,496,85,324,26
62464,4,4,4,2
62466,15,8,15,6
62467,6,4,6,3
62469,28,11,22,5
62471,10,5,10,4
62472,4,3,4,2
62473,2,2,2,1
62474,14,7,14,4
62475,345,56,329,28
62482,840,135,639,41
62483,8,4,8,3
62485,18,9,18,6
62488,15,9,15,6
62489,2,2,2,1
62492,5,4,5,3
62494,212,34,201,19
62495,42,14,30,8
62496,1,1,1,0
62497,1,1,1,0
62499,33,13,30,8
62503,9,7,9,5
62504,23,13,23,8
62507,31,17,31,7
62512,8,7,7,2
62513,2610,261,1763,69
62515,28,10,27,6
62518,1355,204,1343,54
62522,8,5,8,4
62523,1400,135,1211,66
62531,1,1,1,0
62532,1,1,1,0
62533,667,72,437,35
62534,1645,212,1324,52
62537,169,48,157,28
62543,3,2,3,1
62547,3,3,3,2
62550,24,11,24,8
62551,6,4,6,3
62554,9,5,9,4
62555,7,4,7,3
62558,2045,202,2045,101
62568,1554,253,1288,55
62569,2,2,2,1
62570,396,43,304,24
62572,2,2,2,1
62576,33,13,32,10
62577,1,1,1,0
62578,5,4,5,3
62579,1,1,1,0
62581,1483,221,1483,76
62585,1,1,1,0
62586,11,5,11,4
62587,52,21,52,13
62590,11,6,11,5
62592,3,3,3,2
62593,3,3,3,2
62600,118,29,79,11
62601,2,2,2,1
62602,95,24,95,14
62606,41,21,41,11
62607,1225,111,602,24
62608,2,2,2,1
62609,583,107,452,30
62611,42,14,42,9
62620,1,1,1,0
62621,1,1,1,0
62622,737,95,431,28
62624,963,92,774,46
62625,820,78,443,28
62626,1,1,1,0
62628,4,4,4,3
62629,1732,218,1338,51
62630,17,9,15,4
62632,428,70,295,33
62634,55,13,42,8
62637,66,22,66,15
62640,6,5,6,3
62642,541,56,378,36
62646,2672,222,1545,95
62651,27,12,27,7
62654,3,3,3,2
62656,1,1,1,0
62660,3,3,3,2
62661,85,23,85,14
62663,3,2,3,1
62665,1,1,1,0
62666,1,1,1,0
62668,99,24,99,21
62670,3,3,3,2
62673,326,53,322,31
62674,4,4,4,3
62677,31,14,31,7
62680,1858,154,1578,58
62689,24,8,24,7
62690,5175,218,1866,70
62695,6,5,6,4
62696,371,50,326,23
62697,62,22,59,14
62701,1,1,1,0
62704,5,5,5,4
62706,45,15,44,12
62707,901,91,597,40
62708,34,11,30,8
62709,1,1,1,0
62715,50,19,49,10
62716,25,14,22,7
62717,12,9,12,7
62719,13,6,13,4
62724,408,74,282,28
62726,1,1,1,0
62727,32,11,32,10
62731,1602,159,1602,68
62736,1233,135,1216,51
62737,2495,176,1809,83
62738,170,40,154,22
62741,62,17,62,11
62746,14,9,14,6
62751,4,4,4,3
62757,14,7,14,5
62758,12,9,12,5
62759,1329,124,1140,55
62760,7652,373,2843,76
62761,15,8,15,7
62764,74,20,65,11
62767,14,6,14,5
62768,12,6,10,3
62769,1,1,1,0
62770,12,7,12,4
62771,783,67,520,29
62776,28,11,28,7
62779,89,36,89,16
62780,5,4,5,2
62781,1,1,1,0
62784,3,3,3,2
62787,55,21,55,12
62788,4,3,4,2
62792,1,1,1,0
62793,27,13,27,6
62798,1,1,1,0
62800,2,2,2,1
62801,6,5,6,3
62802,20,12,20,5
62809,31,17,31,6
62815,148,44,148,25
62816,450,86,449,36
62820,12,8,12,4
62821,1,1,1,0
62822,149,29,142,14
62825,12,5,12,4
62828,2389,304,1629,66
62830,1,1,1,0
62831,71,21,71,14
62833,1,1,1,0
62840,3,3,3,2
62841,1,1,1,0
62842,2,2,2,1
62843,2,2,2,1
62846,1414,174,1295,46
62850,6,4,6,3
62852,2,2,2,1
62853,84,31,66,10
62854,413,70,348,39
62856,870,150,813,36
62858,704,91,704,42
62861,3,3,3,2
62862,27,10,23,7
62863,6,4,6,3
62864,2,2,2,1
62868,159,24,127,18
62871,51,16,51,12
62872,1,1,1,0
62876,9,6,9,4
62881,5,4,5,3
62885,101,28,101,16
62887,251,65,251,42
62892,606,126,606,39
62896,280,47,280,23
62897,6,4,6,3
62901,242,44,242,37
62904,40,17,38,6
62905,1,1,1,0
62909,1,1,1,0
62911,3245,193,2140,80
62913,2,2,2,1
62916,9,5,9,4
62920,94,31,94,15
62922,4,4,4,3
62926,2,2,2,1
62928,1421,159,1398,73
62929,9689,341,3090,59
62930,16,9,16,6
62931,1276,150,812,42
62933,31,14,26,6
62935,1,1,1,0
62936,60,17,52,11
62940,41,17,41,8
62941,10,4,10,3
62942,3,3,3,2
62943,7,5,7,4
62944,459,53,459,30
62948,1,1,1,0
62949,4,4,4,2
62950,4,4,4,3
62951,13,8,13,4
62952,139,33,117,16
62953,21,15,21,8
62955,221,49,155,14
62956,2,2,2,1
62962,350,49,325,32
62965,732,78,604,45
62967,4,3,4,2
62968,66,22,66,15
62974,1476,186,1131,60
62975,14,9,13,5
62977,2984,229,1993,102
62979,30,18,30,11
62984,3,3,3,2
62992,77,23,77,16
62993,1,1,1,0
62994,1,1,1,0
62996,2084,148,1013,42
63002,118,22,118,16
63003,5375,303,2160,85
63006,196,48,126,15
63007,195,47,195,27
63010,3,2,3,1
63011,55,25,52,14
63014,1,1,1,0
63015,2554,182,1644,58
63016,34,14,34,7
63019,173,40,110,12
63022,1,1,1,0
63023,2,2,2,1
63024,1,1,1,0
63026,1,1,1,0
63028,73,25,70,14
63029,468,77,381,29
63030,1,1,1,0
63036,1,1,1,0
63039,5,4,5,3
63041,7,3,7,2
63042,1,1,1,0
63044,493,76,491,37
63046,3,2,3,1
63048,59,34,48,7
63049,63,18,45,8
63050,1,1,1,0
63051,8,6,8,5
63054,2,2,2,1
63057,5,5,5,2
63058,532,79,463,33
63060,1,1,1,0
63061,6,4,6,3
63062,4,4,4,2
63065,437,62,356,24
63066,29,15,28,8
63067,389,65,387,36
63069,34,19,34,14
63071,1,1,1,0
63076,435,60,291,29
63081,13,8,11,3
63082,20,11,19,6
63084,968,203,796,53
63087,16,11,16,6
63088,115,51,115,17
63090,39,15,39,9
63091,1587,153,1088,54
63094,2982,178,1652,56
63099,13,7,13,5
63100,65,23,61,13
63103,9,9,9,4
63107,3,2,3,1
63110,32,20,32,11
63112,1,1,1,0
63115,5,4,5,3
63116,4,3,4,2
63118,77,26,76,16
63122,126,38,124,21
63124,1099,110,950,37
63125,108,32,108,20
63128,55,25,55,11
63129,42,18,42,10
63130,993,91,980,41
63132,2848,241,1710,62
63133,16,7,15,4
63135,43,24,43,12
63136,16,8,16,4
63137,77,18,75,11
63141,2255,165,1653,55
63143,29,18,27,6
63144,1,1,1,0
63148,1,1,1,0
63150,23,11,23,6
63151,9,7,9,6
63153,14,10,14,7
63154,459,87,450,34
63155,382,58,359,39
63157,1,1,1,0
63158,7,5,7,4
63163,236,48,236,26
63164,184,41,184,24
63166,2,2,2,1
63169,105,32,95,13
63174,248,53,248,38
63180,18,9,18,6
63182,112,28,112,15
63183,19,13,19,8
63184,197,59,197,22
63185,96,36,95,12
63186,470,64,470,37
63188,6,4,6,3
63189,2,2,2,1
63194,1,1,1,0
63200,18,8,18,7
63203,279,75,279,51
63205,517,70,442,34
63206,80,17,53,8
63207,1930,154,1421,81
63209,6,5,6,3
63213,1592,196,1459,75
63214,1916,146,1164,53
63216,4,3,4,2
63222,136,49,136,21
63223,2,2,2,1
63224,800,88,522,47
63229,13,6,12,3
63230,1,1,1,0
63232,1,1,1,0
63237,6,5,6,3
63239,2,2,2,1
63240,21,12,21,9
63241,566,91,565,51
63243,419,79,387,38
63244,7,5,7,4
63246,62,26,61,11
63247,1,1,1,0
63248,166,48,166,29
63250,499,46,272,29
63251,931,145,912,42
63253,4,3,4,2
63254,426,72,426,39
63258,259,92,259,24
63263,39,21,39,8
63264,21,11,21,8
63265,94,28,80,14
63267,203,55,192,21
63269,241,38,241,20
63275,17,12,17,7
63278,47,12,46,9
63280,242,65,227,26
63283,118,48,118,27
63284,14,8,13,4
63289,2,2,2,1
63291,3,3,3,2
63294,1,1,1,0
63295,7,4,7,3
63300,35,22,35,11
63305,9,8,9,5
63307,7,4,7,3
63312,7,7,7,6
63313,255,69,255,40
63314,4,3,4,2
63317,8,6,8,5
63319,105,27,105,16
63320,3,2,3,1
63321,31,18,31,10
63322,22,12,22,9
63325,376,94,369,34
63327,36,16,36,8
63328,731,138,731,50
63331,36,12,36,10
63332,1883,144,1118,45
63335,1278,88,646,25
63337,1,1,1,0
63338,2,2,2,1
63340,90,32,90,22
63345,12,7,12,5
63346,57,16,57,11
63349,38,16,37,9
63352,3,3,3,2
63353,81,22,81,15
63360,12,5,11,4
63361,1,1,1,0
63366,1,1,1,0
63367,100,22,100,15
63368,2055,189,849,47
63369,40,18,40,14
63370,7029,332,2529,80
63372,5,4,5,3
63376,303,55,301,26
63378,157,40,157,19
63379,1,1,1,0
63381,3,3,3,2
63382,26,7,26,6
63383,1515,96,762,44
63384,2884,173,1816,64
63385,2,2,2,1
63386,2,2,2,1
63387,11,5,10,4
63388,94,28,94,17
63389,1,1,1,0
63390,1,1,1,0
63394,2137,167,1417,56
63395,88,36,86,19
63400,31,13,31,7
63401,2,2,2,1
63405,138,34,111,15
63409,7,5,7,4
63410,2,2,2,1
63412,7,5,7,3
63413,3,3,3,2
63414,221,53,221,28
63415,71,28,71,15
63417,115,29,115,19
63420,1,1,1,0
63421,4,3,4,2
63428,204,54,204,28
63430,1,1,1,0
63431,2,2,2,1
63432,398,58,237,24
63437,1,1,1,0
63438,1,1,1,0
63439,998,81,996,60
63440,1357,92,725,37
63441,2,2,2,1
63443,10,5,10,3
63446,2483,155,1574,68
63449,1267,138,1267,61
63452,914,117,796,56
63453,983,100,767,63
63455,26,16,26,7
63457,2,2,2,1
63459,46,15,46,13
63463,1,1,1,0
63466,12,5,12,4
63469,86,21,74,11
63472,37,14,37,8
63474,230,40,230,25
63478,5,4,5,2
63479,1700,175,895,40
63481,121,29,110,18
63482,266,51,254,34
63483,39,13,31,5
63484,944,105,922,50
63487,1222,125,885,60
63488,113,36,113,17
63497,8,6,8,3
63501,282,42,282,30
63503,1,1,1,0
63504,184,44,184,23
63507,12,9,12,4
63509,16,11,16,6
63514,2,2,2,1
63516,1,1,1,0
63517,1448,146,1003,61
63518,318,48,318,28
63519,96,21,96,14
63520,226,46,220,29
63521,2299,147,1426,65
63522,1,1,1,0
63525,29,14,29,7
63526,1472,137,1385,47
63530,14,10,14,4
63531,4,4,4,2
63539,1636,190,1222,50
63540,654,95,650,46
63542,338,52,289,36
63543,3,2,3,1
63546,78,23,78,13
63547,86,28,86,17
63548,1,1,1,0
63549,1,1,1,0
63551,1,1,1,0
63552,238,40,235,28
63553,2,2,2,1
63557,114,26,114,18
63558,34,18,34,10
63559,146,31,146,19
63560,117,38,117,27
63561,36,18,36,9
63562,535,78,485,41
63563,2,2,2,1
63564,617,102,617,45
63568,1,1,1,0
63569,2,2,2,1
63570,306,48,264,26
63571,28,12,26,6
63574,2,2,2,1
63577,2,2,2,1
63578,49,17,45,9
63579,3,3,3,2
63584,194,51,194,31
63587,657,82,655,41
63588,180,39,180,27
63589,1,1,1,0
63590,4,3,4,2
63600,3,3,3,2
63602,120,32,120,23
63603,249,37,161,15
63608,2,2,2,1
63609,48,19,46,12
63610,1,1,1,0
63611,1,1,1,0
63612,1,1,1,0
63613,15,7,14,5
63615,2,2,2,1
63616,267,34,267,23
63618,17,13,17,6
63620,25,14,25,11
63621,507,108,489,40
63622,1,1,1,0
63623,1,1,1,0
63624,21,9,21,8
63625,415,48,324,25
63630,98,30,98,18
63635,942,135,670,37
63636,18,6,18,5
63643,582,66,432,29
63646,3,3,3,2
63647,3215,166,2415,52
63649,361,77,288,34
63650,1,1,1,0
63652,25,10,25,7
63653,1597,155,824,45
63654,5,4,5,3
63655,41,21,36,6
63656,52,22,52,13
63657,1,1,1,0
63661,122,34,122,21
63663,822,85,637,37
63664,11,6,11,5
63666,6,5,6,4
63667,10,6,10,4
63668,11,7,11,4
63669,163,28,158,17
63673,820,105,820,58
63675,1,1,1,0
63677,1,1,1,0
63678,172,59,172,27
63683,20,10,18,5
63684,18,8,18,7
63685,23,10,23,7
63686,4,3,4,2
63690,1,1,1,0
63691,177,40,152,23
63692,13,5,13,4
63695,3418,211,1780,59
63700,6,5,6,2
63701,1,1,1,0
63702,20,9,20,8
63708,1,1,1,0
63711,28,12,28,7
63712,151,29,114,17
63714,4,4,4,2
63716,4,3,4,2
63720,311,62,311,31
63721,143,35,142,19
63725,11,6,11,3
63726,83,26,83,19
63727,44,13,39,8
63728,1389,183,1338,74
63729,79,28,70,14
63733,57,27,50,9
63735,24,8,24,6
63736,159,28,115,15
63738,56,13,56,11
63740,3,2,3,1
63742,10,4,10,3
63745,4,4,4,2
63746,10,8,10,5
63748,10,6,10,5
63750,228,41,210,24
63752,63,25,61,13
63756,5,5,5,4
63758,23,8,23,6
63761,7022,379,2873,77
63764,3822,349,2099,63
63765,32,13,32,8
63767,18,9,18,6
63768,7,5,7,4
63770,34,13,34,9
63771,66,25,66,20
63772,18,12,18,7
63775,1,1,1,0
63777,49,15,49,10
63778,5,5,5,3
63779,10,7,10,6
63783,128,23,99,15
63785,143,24,102,13
63788,20,9,18,6
63793,1,1,1,0
63796,110,24,110,13
63798,588,125,573,40
63799,658,68,449,40
63804,300,33,221,17
63805,15,11,15,7
63812,408,82,394,29
63813,7,5,7,3
63815,72,20,69,10
63817,597,66,498,35
63819,39,15,39,9
63827,211,32,211,21
63830,136,33,133,19
63835,10,5,10,4
63836,1,1,1,0
63837,9,5,9,3
63838,89,23,89,15
63840,23,11,23,8
63841,16,8,16,6
63843,1519,169,1439,61
63844,1691,164,1691,59
63845,3,2,3,1
63846,217,34,214,20
63848,511,112,511,46
63851,7030,378,2868,70
63854,118,35,118,15
63857,5,4,5,3
63860,7,4,7,3
63864,44,15,44,11
63865,2527,257,1535,67
63866,44,13,44,10
63867,1,1,1,0
63868,305,53,305,27
63871,108,33,78,13
63872,2700,263,1997,53
63873,2,2,2,1
63874,941,113,941,63
63876,1,1,1,0
63879,114,30,95,13
63880,1483,196,1215,41
63881,193,28,192,18
63884,18,7,18,6
63889,1,1,1,0
63890,1222,153,1196,57
63897,65,22,65,15
63903,434,50,300,21
63904,188,28,151,16
63906,14,7,14,5
63910,4,3,4,2
63913,59,23,55,11
63914,1,1,1,0
63915,1,1,1,0
63920,297,46,215,27
63922,1161,78,809,41
63923,23,9,21,7
63924,12,7,12,6
63925,700,105,581,38
63932,7,7,7,3
63938,77,24,77,21
63939,26,9,26,7
63942,3153,207,2070,70
63943,15,6,15,5
63945,14,10,14,9
63947,2,2,2,1
63950,5,4,5,3
63953,16,8,16,5
63955,1994,188,1901,77
63956,119,22,92,11
63959,1,1,1,0
63961,3,3,3,2
63964,2206,178,1169,51
63974,415,37,279,25
63978,19,7,17,4
63979,4215,237,2237,50
63982,51,16,39,9
63983,3,3,3,2
63984,113,34,89,10
63985,374,75,374,40
63988,58,21,58,14
63989,127,30,102,25
63990,2,2,2,1
63995,2451,145,1351,40
64001,28,11,23,4
64003,109,31,109,19
64014,21,7,17,5
64017,25,13,25,7
64019,1912,117,1147,68
64023,84,34,84,17
64024,332,64,332,28
64025,570,79,570,50
64026,2,2,2,1
64029,239,61,208,22
64033,7,4,7,3
64034,1,1,1,0
64035,2,2,2,1
64036,6,3,6,2
64037,1,1,1,0
64043,311,56,311,28
64045,7,6,7,4
64050,1,1,1,0
64051,6,3,6,2
64052,46,17,46,9
64053,1061,81,864,46
64060,13,7,13,5
64063,7,5,6,2
64064,1,1,1,0
64067,42,14,40,8
64070,51,15,48,12
64072,1579,153,1575,65
64078,191,42,122,16
64079,1108,123,1013,46
64083,2276,140,1385,49
64085,1,1,1,0
64087,1,1,1,0
64088,76,33,76,21
64089,453,73,447,41
64090,7,6,7,5
64091,127,27,127,21
64092,41,22,41,15
64094,8,5,8,3
64099,47,17,45,9
64101,119,30,119,18
64105,104,31,104,14
64107,9,4,9,3
64110,4,3,4,2
64116,6,3,6,2
64117,92,18,92,13
64119,32,17,32,12
64121,5,5,5,3
64122,5,5,5,2
64123,13,8,13,7
64128,3,3,3,2
64129,15,8,13,5
64131,28,13,28,8
64132,40,16,40,10
64133,3,3,3,2
64135,1106,159,1099,65
64137,1207,87,707,32
64138,3,3,3,2
64142,637,90,568,37
64143,3,3,3,2
64147,13,6,11,3
64149,18,11,18,9
64150,1000,137,836,56
64151,1,1,1,0
64152,11,6,11,4
64153,57,16,56,12
64155,2,2,2,1
64156,190,48,188,24
64165,437,70,437,38
64167,48,16,48,12
64169,8,4,8,3
64170,202,42,202,19
64172,476,75,332,23
64180,3,3,3,2
64181,1369,149,970,54
64184,19,13,19,7
64185,6,4,6,3
64187,1,1,1,0
64193,132,31,132,19
64194,1487,162,930,46
64196,71,19,51,10
64197,9,6,9,3
64198,13,10,13,7
64201,5565,304,1886,54
64204,277,74,270,23
64206,786,81,748,50
64207,36,14,36,9
64209,1,1,1,0
64211,220,39,220,21
64214,40,20,31,5
64217,2509,246,1260,51
64220,18,8,18,6
64222,4,3,4,2
64224,98,42,98,20
64225,4,4,4,3
64227,7,5,7,4
64229,3,2,3,1
64231,50,18,45,8
64233,74,24,74,13
64234,3,3,3,2
64236,1,1,1,0
64239,1010,178,1010,50
64240,100,30,85,15
64241,234,51,234,37
64242,9,6,9,3
64246,25,17,25,11
64251,3,3,3,2
64252,3,3,3,2
64253,171,31,117,13
64254,171,39,171,24
64255,3129,158,1512,65
64256,30,13,30,8
64260,121,21,90,12
64263,339,62,339,26
64266,2,2,2,1
64267,7,4,7,3
64269,851,93,558,38
64271,2,2,2,1
64277,699,127,596,31
64278,8,5,8,4
64279,8,6,8,3
64282,891,93,548,29
64284,1154,81,760,41
64289,2,2,2,1
64291,1,1,1,0
64294,1,1,1,0
64297,15,9,15,8
64301,2,2,2,1
64303,978,100,746,46
64304,5,5,5,3
64306,181,36,147,16
64309,1,1,1,0
64310,2,2,2,1
64311,1,1,1,0
64312,2,2,2,1
64315,9,6,9,3
64319,18,10,18,6
64321,17,8,15,5
64322,23,9,23,7
64323,2394,150,1716,72
64324,590,76,590,39
64325,1,1,1,0
64326,403,56,302,18
64327,108,22,75,11
64330,8,8,8,5
64331,1,1,1,0
64332,84,22,84,13
64337,15,8,15,4
64338,21,10,21,7
64339,1,1,1,0
64340,104,26,101,15
64341,108,38,108,16
64342,29,20,29,12
64347,2443,203,2436,92
64348,147,36,118,11
64350,495,65,304,27
64354,9,7,9,4
64355,2594,181,1566,59
64356,8,6,8,5
64358,4,3,4,2
64359,1,1,1,0
64363,545,103,531,50
64368,1245,195,1245,62
64369,15,6,15,5
64370,5,3,5,2
64374,2,2,2,1
64375,30,11,30,8
64381,25,9,25,8
64382,5,4,5,3
64384,2,2,2,1
64387,2607,191,1849,64
64389,1404,157,878,48
64390,85,28,85,16
64392,1395,155,1394,53
64394,19,11,19,6
64397,37,15,37,11
64398,199,53,196,21
64399,511,74,424,36
64402,1,1,1,0
64403,3,3,3,2
64405,1,1,1,0
64412,2,2,2,1
64413,3,3,3,2
64414,1,1,1,0
64416,500,78,405,33
64425,1,1,1,0
64427,4,3,4,2
64431,1,1,1,0
64432,160,39,108,19
64433,616,83,460,39
64435,76,22,64,13
64439,201,42,179,25
64442,25,8,22,5
64443,4,3,4,2
64446,6,3,6,2
64450,15,7,15,6
64451,584,49,398,26
64453,83,30,83,14
64455,6,5,6,3
64456,1,1,1,0
64457,18,11,18,5
64458,69,19,69,12
64460,8,7,8,4
64461,1337,219,950,51
64462,101,20,66,8
64464,295,53,295,27
64467,3,3,3,2
64470,1,1,1,0
64471,86,33,86,16
64472,951,111,951,51
64476,1,1,1,0
64477,6,4,6,2
64479,1,1,1,0
64480,58,18,57,10
64482,23,16,23,9
64483,1,1,1,0
64487,51,15,44,9
64489,4,3,4,2
64493,260,76,224,22
64495,296,71,296,32
64496,3,3,3,2
64498,5,3,5,2
64500,17,7,17,6
64503,62,19,58,13
64504,20,13,20,12
64506,3,3,3,2
64509,3,2,3,1
64510,14,9,14,6
64512,8,4,8,3
64515,1,1,1,0
64518,18,12,18,7
64521,3,2,3,1
64522,12,7,12,4
64524,1,1,1,0
64527,3,3,3,2
64529,3,3,3,2
64530,526,59,463,32
64531,1302,87,712,32
64534,4,4,4,2
64535,403,54,259,23
64537,2,2,2,1
64539,6071,280,2644,64
64540,174,36,174,23
64543,4,3,4,2
64544,732,68,480,33
64546,5,4,5,3
64552,2,2,2,1
64554,1,1,1,0
64555,1,1,1,0
64560,9,5,8,2
64566,1865,190,1589,69
64568,1,1,1,0
64569,8,6,8,5
64570,5,3,5,2
64573,1,1,1,0
64574,1,1,1,0
64575,6,4,6,3
64577,315,61,315,32
64579,5,5,5,2
64584,391,50,387,32
64587,17,10,17,7
64589,5,5,5,3
64595,17,6,17,5
64596,13,8,13,7
64597,4,3,4,2
64603,26,9,25,7
64604,2951,119,1579,57
64605,34,13,28,7
64607,3,3,3,2
64608,12,7,12,6
64611,627,152,379,24
64612,32,18,32,9
64613,3,2,3,1
64614,18,11,18,8
64618,1640,148,1561,80
64621,13,7,12,3
64623,1,1,1,0
64624,108,36,104,14
64627,2,2,2,1
64630,4,4,4,2
64632,546,87,470,37
64637,68,22,68,12
64638,7375,274,2425,54
64641,2,2,2,1
64642,72,25,72,13
64643,4,4,4,3
64646,1,1,1,0
64647,94,44,94,13
64648,2756,217,1468,61
64652,360,69,262,26
64653,5,4,5,3
64655,103,46,103,30
64656,46,19,46,11
64657,1702,113,951,42
64658,6,3,6,2
64663,4,3,4,2
64664,851,75,471,30
64665,8,8,8,5
64668,1,1,1,0
64670,4,4,4,3
64671,1,1,1,0
64673,1567,160,1212,84
64675,1977,126,1020,37
64676,3,2,3,1
64677,1,1,1,0
64680,76,31,75,13
64682,13,5,13,4
64683,31,10,31,9
64686,52,17,52,9
64687,7,4,7,3
64688,4,3,4,2
64691,1,1,1,0
64692,2,2,2,1
64693,22,13,22,10
64698,12,7,12,5
64699,1,1,1,0
64702,1,1,1,0
64704,16,11,16,7
64705,33,17,33,12
64709,427,63,424,33
64710,62,21,62,11
64711,59,21,56,15
64713,212,44,212,27
64716,1,1,1,0
64720,129,57,129,26
64722,10,6,10,5
64729,66,26,55,10
64731,3,2,3,1
64732,4,4,4,3
64733,17,7,17,6
64735,20,7,18,6
64736,2661,143,1357,64
64737,2,2,2,1
64743,30,11,30,9
64744,1024,123,1019,52
64745,2708,205,1541,60
64747,10,7,9,2
64748,2,2,2,1
64750,45,17,39,7
64753,81,29,81,14
64757,28,12,28,7
64758,18,9,18,6
64759,12,7,11,3
64760,10,6,10,5
64765,158,37,132,16
64768,644,61,526,27
64769,147,29,116,16
64771,2,2,2,1
64779,44,19,44,8
64780,414,62,381,34
64782,3337,302,2112,52
64784,80,34,63,11
64786,93,31,93,14
64790,1,1,1,0
64795,3,2,3,1
64798,1,1,1,0
64799,37,20,37,9
64804,7,5,7,3
64806,4,4,4,2
64807,1,1,1,0
64810,20,13,20,12
64813,1930,243,1531,69
64814,904,91,589,34
64815,1,1,1,0
64816,16,9,16,6
64817,89,23,88,14
64818,248,45,222,22
64819,8,6,8,5
64822,506,46,288,34
64824,2,2,2,1
64825,1,1,1,0
64827,33,12,29,6
64828,1,1,1,0
64832,86,24,78,14
64834,650,80,449,30
64835,1,1,1,0
64839,16,8,14,4
64842,774,142,774,54
64843,1633,165,1288,61
64844,160,36,160,21
64846,655,113,654,45
64851,833,142,792,56
64853,1,1,1,0
64854,43,14,43,9
64858,1,1,1,0
64860,1,1,1,0
64861,459,127,459,60
64863,32,16,32,10
64868,2765,196,1895,86
64870,6,4,6,3
64872,16,8,14,4
64873,198,35,198,21
64876,11,7,11,4
64877,11,6,11,4
64879,1,1,1,0
64880,3,3,3,2
64881,9,4,8,3
64884,73,29,73,17
64885,32,13,32,9
64886,139,42,122,17
64888,666,84,511,36
64889,2,2,2,1
64893,184,52,184,28
64895,4,3,4,2
64897,1,1,1,0
64898,227,57,168,20
64900,44,17,44,9
64902,648,58,502,34
64908,2,2,2,1
64909,1,1,1,0
64913,8,7,8,3
64915,2,2,2,1
64916,4,4,4,2
64919,498,58,365,27
64921,1,1,1,0
64924,52,21,52,10
64925,32,11,32,9
64926,3086,275,1462,51
64927,24,10,24,6
64928,1,1,1,0
64929,41,13,41,8
64932,2,2,2,1
64936,2,2,2,1
